entity_id,aha_id,mpn_id,local_id,aha_service_id,name,address,city,zipcode,county_name,phone_number,ownership,geo_lat,geo_long,website,cha
101163,6432930,140019,2154,Acute Care Hospital,HSHS Good Shepherd Hospital,200 South Cedar Street,Shelbyville,62565,Shelby,2177743961,Voluntary non-profit - Private,39.4057,-88.8073,https://www.hshs.org/good-shepherd,https://www.hshs.org/good-shepherd/about-us/community-health-needs-assessment
101165,6430100,140029,4671,Acute Care Hospital,Rush Copley Medical Center,2000 Ogden Avenue,Aurora,60504,Kane,6309786200,Voluntary non-profit - Private,41.7279,-88.2685,https://www.rush.edu/locations/rush-copley-medical-center,https://www.rush.edu/about-us/rush-community/chnachip-reports-and-cbr
101166,6431610,140030,5884,Acute Care Hospital,Advocate Sherman Hospital,1425 North Randall Road,Elgin,60120,Kane,8477429800,Voluntary non-profit - Other,42.0559,-88.3382,https://www.advocatehealth.com/sherman/,https://www.advocatehealth.com/hospital-chna-reports-implementation-plans-progress-reports/sherman-chna-report-2022
101167,6431560,140032,2279,Acute Care Hospital,HSHS St. Anthony's Memorial Hospital,503 North Maple Street,Effingham,62401,Effingham,2173422121,Voluntary non-profit - Church,39.1259,-88.5494,https://www.hshs.org/st-anthonys,https://www.hshs.org/st-anthonys/about-us/community-health-needs-assessment
101169,6430360,140034,2642,Acute Care Hospital,SSM Health St Mary's Hospital,400 North Pleasant Avenue,Centralia,62801,Marion,6184368000,Voluntary non-profit - Church,38.5309,-89.1162,https://www.ssmhealth.com/locations/illinois/st-marys-hospital-centralia,https://www.ssmhealth.com/resources/about/community-health/community-health-needs-assessments
101171,6433005,140043,364,Acute Care Hospital,CGH Medical Center,100 East Lefevre Road,Sterling,61081,Whiteside,8156250400,Government - Local,41.8017,-89.697,https://www.cghmc.com/,
101172,6432320,140046,5850,Acute Care Hospital,SSM Health Good Samaritan Hospital,1 Good Samaritan Way,Mount Vernon,62864,Jefferson,6182424600,Voluntary non-profit - Church,38.3223,-88.9097,https://www.ssmhealth.com/locations/illinois/good-samaritan-hospital-mt-vernon,https://www.ssmhealth.com/resources/about/community-health/community-health-needs-assessments
101173,6431150,140048,4176,Acute Care Hospital,Advocate Trinity Hospital,2320 East 93rd Street,Chicago,60617,Cook,7739675002,Voluntary non-profit - Church,41.7263,-87.5674,https://www.advocatehealth.com/trin/,https://www.advocatehealth.com/hospital-chna-reports-implementation-plans-progress-reports/trinity-chna-report-2022
101174,6432430,140049,0006346,Acute Care Hospital,West Suburban Medical Center,3 Erie Court,Oak Park,60302,Cook,7083836200,Investor-owned (for-profit)- Corporation,41.8917,-87.7754,https://www.westsuburbanmc.com/,
101175,6432936,140051,5587,Acute Care Hospital,Endeavor Skokie Hospital,9600 Gross Point Road,Skokie,60076,Cook,8479336001,Voluntary non-profit - Other,42.0555,-87.74,https://www.northshore.org/locations/our-hospitals/skokie-hospital/,https://www.northshore.org/community/community-health-needs-assessment/
101176,6430030,140052,5942,Acute Care Hospital,OSF Saint Anthony's Health Center,1 Saint Anthony's Way,Alton,62002,Madison,6184652571,Voluntary non-profit - Church,38.9082,-90.1729,https://www.osfhealthcare.org/saint-anthonys/,https://www.osfhealthcare.org/about/community-health/
101177,6432980,140053,2451,Acute Care Hospital,HSHS St John's Hospital,800 East Carpenter Street,Springfield,62702,Sangamon,2175446464,Voluntary non-profit - Church,39.8072,-89.6447,https://www.hshs.org/st-johns/,https://www.hshs.org/st-johns/about-us/community-health-needs-assessment
101178,6430240,140054,6106,Acute Care Hospital,Loyola MacNeal Hospital,3249 South Oak Park Avenue,Berwyn,60402,Cook,7087839100,Voluntary non-profit - Private,41.8334,-87.7926,https://www.loyolamedicine.org/location/macneal-hospital,https://www.loyolamedicine.org/about-us/community-benefit
101179,6431970,140058,1792,Acute Care Hospital,Jacksonville Memorial Hospital,1600 West Walnut,Jacksonville,62650,Morgan,2172459541,Voluntary non-profit - Private,39.7454,-90.2599,https://memorial.health/jacksonville-memorial-hospital/overview,https://memorial.health/about-us/community-health/community-health-needs-assessment/
101180,6431975,140059,1156,Acute Care Hospital,Jersey Community Hospital,400 Maple Summit Road,Jerseyville,62052,Jersey,6184986402,Government - Local,39.1109,-90.3418,https://www.jch.org/,https://www.jch.org/about/community-health-needs-assessment/
101182,6431060,140062,3210,Acute Care Hospital,Northwestern Medicine Palos Hospital,12251 South 80th Street,Palos Heights,60463,Cook,7089234000,Voluntary non-profit - Private,41.6688,-87.8158,https://www.nm.org/locations/palos-hospital,https://www.nm.org/about-us/nm-community-impact/reports
101183,6432420,140063,1750,Acute Care Hospital,Rush Oak Park Hospital,520 South Maple Avenue,Oak Park,60304,Cook,7083839300,Voluntary non-profit - Church,41.8792,-87.8036,https://www.rush.edu/locations/rush-oak-park-hospital,https://www.rush.edu/about-us/rush-community/chnachip-reports-and-cbr
101184,6431750,140064,2675,Acute Care Hospital,OSF St. Mary Medical Center,3333 North Seminary Street,Galesburg,61401,Knox,3093443161,Voluntary non-profit - Church,40.9872,-90.3634,https://www.osfhealthcare.org/st-mary/,https://www.osfhealthcare.org/about/community-health/
101185,6432055,140065,5967,Acute Care Hospital,UChicago Medicine AdventHealth La Grange,5101 South Willow Springs Road,La Grange,60525,Cook,7082459000,Voluntary non-profit - Church,41.798,-87.8882,https://www.uchicagomedicineadventhealth.org/uchicago-medicine-adventhealth-la-grange,https://www.uchicagomedicine.org/about-us/community/benefit/health-needs/chna
101187,6432620,140067,2394,Acute Care Hospital,OSF Saint Francis Medical Center,530 North East Glen Oak Avenue,Peoria,61637,Peoria,3096552000,Voluntary non-profit - Church,40.7018,-89.5913,https://www.osfhealthcare.org/saint-francis/,https://www.osfhealthcare.org/about/community-health/
101188,6431030,140068,2063,Acute Care Hospital,Roseland Community Hospital,45 West 111th Street,Chicago,60628,Cook,7739953000,Voluntary non-profit - Other,41.6924,-87.6243,https://www.roselandhospital.org/,https://www.roselandhospital.org/wp-content/uploads/2022/03/CHNA-RCH-2019.pdf
101190,6431515,140077,4523,Acute Care Hospital,Touchette Regional Hospital,5900 Bond Avenue,Centreville,62207,St. Clair,6183323060,Voluntary non-profit - Private,38.572,-90.1087,https://www.touchette.org/,https://www.sihf.org/media-library/documents/Needs_Assessment_Brochure_2022.pdf
101191,6431670,140080,5991,Acute Care Hospital,Ascension Saint Francis,355 Ridge Avenue,Evanston,60202,Cook,8473162353,Voluntary non-profit - Church,42.0242,-87.685,https://healthcare.ascension.org/locations/illinois/ilchi/evanston-ascension-saint-francis,https://healthcare.ascension.org/chna
101192,6430835,140082,0006338,Acute Care Hospital,Weiss Memorial Hospital,4646 North Marine  Drive,Chicago,60640,Cook,7738788700,Voluntary non-profit - Other,41.9668,-87.6492,https://www.weisshospital.com/,
101193,6430830,140083,1289,Acute Care Hospital,The Loretto Hospital,645 South Central Avenue,Chicago,60644,Cook,7736264300,Voluntary non-profit - Other,41.8723,-87.7643,https://www.lorettohospital.org/,https://www.lorettohospital.org/about-us/
101194,6433170,140084,5397,Acute Care Hospital,Vista Medical Center East,1324 North Sheridan Road,Waukegan,60085,Lake,8473604000,Voluntary non-profit - Other,42.3783,-87.8312,https://vistahealth.com/,
101195,6431210,140088,3897,Acute Care Hospital,UChicago Medicine,5841 South Maryland,Chicago,60637,Cook,7737021000,Voluntary non-profit - Private,41.7888,-87.6047,https://www.uchicagomedicine.org/,https://www.uchicagomedicine.org/about-us/community/benefit/health-needs/chna
101196,6432137,140089,1438,Acute Care Hospital,McDonough District Hospital,525 East Grant Street,Macomb,61455,McDonough,3098334101,Government - Hospital District or Authority,40.4478,-90.6659,https://www.mdh.org,
101197,6433070,140091,3798,Acute Care Hospital,Carle Foundation Hospital,611 West Park Street,Urbana,61801,Champaign,2173833311,Voluntary non-profit - Other,40.1173,-88.2147,https://carle.org/locations/carle-foundation-hospital,https://carle.org/about-us/community-health-needs-assessments
101198,6431285,140093,6072,Acute Care Hospital,OSF Sacred Heart Medical Center,812 North Logan Avenue,Danville,61832,Vermilion,2174435000,Voluntary non-profit - Church,40.1375,-87.6451,https://www.osfhealthcare.org/sacred-heart/,https://www.osfhealthcare.org/about/community-health/
101200,6430710,140095,5637,Acute Care Hospital,Saint Anthony Hospital,2875 West 19th Street,Chicago,60623,Cook,7734841000,Voluntary non-profit - Church,41.8554,-87.6982,https://sahchicago.org/,https://sahchicago.org/about-us/community-health-needs-assessment
101202,6432300,140101,1628,Acute Care Hospital,Morris Hospital & Healthcare Centers,150 West High St.,Morris,60450,Grundy,8159422932,Voluntary non-profit - Private,41.3692,-88.4261,https://www.morrishospital.org/,https://www.morrishospital.org/about-us/community-health-needs-assessment/
101203,6431045,140103,2303,Acute Care Hospital,St. Bernard Hospital & Health Care Center,326 West 64th Street,Chicago,60621,Cook,7739623900,Voluntary non-profit - Church,41.7781,-87.6335,https://www.stbh.org/,https://www.stbh.org/patients/community-health-needs-assessment/
101206,6432480,140110,5520,Acute Care Hospital,OSF Saint Elizabeth Medical Center,1100 E. Norris Drive,Ottawa,61350,LaSalle,8154333100,Voluntary non-profit - Private,41.3561,-88.8253,https://www.osfhealthcare.org/saint-elizabeth/,https://www.osfhealthcare.org/about/community-health/
101207,6430001,140113,6080,Acute Care Hospital,OSF Heart of Mary Medical Center,1400 West Park Avenue,Urbana,61801,Champaign,2173372000,Voluntary non-profit - Church,40.1175,-88.2273,https://www.osfhealthcare.org/heart-of-mary/,https://www.osfhealthcare.org/about/community-health/
101208,6431180,140114,2717,Acute Care Hospital,Endeavor Swedish Hospital,5145 North California Avenue,Chicago,60625,Cook,7738788200,Voluntary non-profit - Church,41.9752,-87.6987,https://www.northshore.org/locations/our-hospitals/swedish-hospital/,https://www.northshore.org/community/community-health-needs-assessment/
101209,6430400,140115,5371,Acute Care Hospital,Thorek Memorial Hospital,850 West Irving Park Road,Chicago,60613,Cook,7735256780,Voluntary non-profit - Other,41.9547,-87.6513,https://www.thorek.org/,https://www.thorek.org/community/community-benefit
101210,6432127,140116,3889-1,Acute Care Hospital,Northwestern Medicine McHenry Hospital,4201 Medical Center Drive,Mchenry,60050,McHenry,8153445000,Voluntary non-profit - Other,42.3181,-88.2756,https://www.nm.org/locations/mchenry-hospital,https://www.nm.org/about-us/nm-community-impact/reports
101211,6431020,140117,6031,Acute Care Hospital,Ascension Resurrection,7435 West Talcott Avenue,Chicago,60631,Cook,7739907609,Voluntary non-profit - Church,41.9884,-87.8128,https://healthcare.ascension.org/locations/illinois/ilchi/chicago-ascension-resurrection,https://healthcare.ascension.org/chna
101213,6430985,140119,1917,Acute Care Hospital,Rush University Medical Center,1653 West Congress Parkway,Chicago,60612,Cook,3129425000,Voluntary non-profit - Private,41.875,-87.6678,https://www.rush.edu/locations/rush-university-medical-center,https://www.rush.edu/about-us/rush-community/chnachip-reports-and-cbr
101214,6432530,140120,1834,Acute Care Hospital,Carle Health Pekin Hospital,600 South 13th Street,Pekin,61554,Tazewell,3093530700,Voluntary non-profit - Private,40.5638,-89.633,https://carle.org/locations/carle-health-pekin-hospital,https://carle.org/about-us/community-health-needs-assessments
101215,6431920,140122,976,Acute Care Hospital,UChicago Medicine AdventHealth Hinsdale,120 North Oak Street,Hinsdale,60521,DuPage,6308569000,Voluntary non-profit - Church,41.8052,-87.9202,https://www.uchicagomedicineadventhealth.org/uchicago-medicine-adventhealth-hinsdale,https://www.uchicagomedicine.org/about-us/community/benefit/health-needs/chna
101216,6430600,140124,5272,Acute Care Hospital,John H Stroger Jr Hospital of Cook County,1901 W. Harrison Street,Chicago,60612,Cook,3128646000,Government - Local,41.8739,-87.6743,https://cookcountyhealth.org/locations/john-h-stroger-jr-hospital-of-cook-county/,
101217,6431810,140125,6395,Acute Care Hospital,Gateway Regional Medical Center,2100 Madison Avenue,Granite City,62040,Madison,6187983000,Proprietary,38.7009,-90.1447,https://gatewayregional.net/,
101218,6430245,140127,6189,Acute Care Hospital,Carle BroMenn Medical Center,1304 Franklin Avenue,Normal,61761,McLean,3094541400,Voluntary non-profit - Church,40.4961,-88.9907,https://carle.org/locations/carle-bromenn-medical-center,https://carle.org/about-us/community-health-needs-assessments
101219,6432060,140130,5660,Acute Care Hospital,Northwestern Medicine Lake Forest Hospital,660 North Westmoreland Road,Lake Forest,60045,Lake,8472345600,Voluntary non-profit - Other,42.2504,-87.8637,https://www.nm.org/locations/lake-forest-hospital,https://www.nm.org/about-us/nm-community-impact/reports
101220,6430700,140133,992,Acute Care Hospital,Holy Cross Hospital,2701 West 68th Street,Chicago,60629,Cook,7738849000,Voluntary non-profit - Church,41.7698,-87.6908,https://www.sinaichicago.org/,https://www.sinaichicago.org/community-health-needs-assessments-chna-and-community-health-improvement-plan-chip/
101221,6431370,140135,471,Acute Care Hospital,Decatur Memorial Hospital,2300 N. Edward Street,Decatur,62526,Macon,2178768121,Voluntary non-profit - Other,39.866,-88.9607,https://memorial.health/decatur-memorial-hospital/overview,https://memorial.health/about-us/community-health/community-health-needs-assessment/
101222,6431825,140137,5355,Acute Care Hospital,HSHS Holy Family Hospital,200 Healthcare Drive,Greenville,62246,Bond,6186641230,Voluntary non-profit - Other,38.9023,-89.4085,https://www.hshs.org/holy-family,https://www.hshs.org/holy-family/about-us/community-health-needs-assessment
101225,6430280,140145,2527,Acute Care Hospital,HSHS St. Joseph's Hospital,9515 Holy Cross Lane,Breese,62230,Clinton,6185264511,Voluntary non-profit - Church,38.6252,-89.5209,https://www.hshs.org/st-josephs-breese,https://www.hshs.org/st-josephs-breese/about-us/community-health-needs-assessment
101226,6432445,140147,4788,Acute Care Hospital,Carle Richland Memorial Hospital,800 East Locust Street,Olney,62450,Richland,6183952131,Voluntary non-profit - Private,38.7352,-88.077,https://carle.org/locations/carle-richland-memorial-hospital,https://carle.org/about-us/community-health-needs-assessments
101227,6432950,140148,1487,Acute Care Hospital,Springfield Memorial Hospital,701 North First Street,Springfield,62781,Sangamon,2177883000,Voluntary non-profit - Private,39.8088,-89.6548,https://memorial.health/springfield-memorial-hospital/overview,https://memorial.health/about-us/community-health/community-health-needs-assessment/
101228,6430553,140150,5280,Acute Care Hospital,UI Health,1740 West Taylor,Chicago,60612,Cook,3129963900,Government - State,41.8694,-87.6706,https://hospital.uillinois.edu/,https://hospital.uillinois.edu/about-ui-health/community-relations/community-assessment-of-health-needs-ui-can
101231,6432030,140155,4879,Acute Care Hospital,Ascension Saint Mary,500 West Court Street,Kankakee,60901,Kankakee,8159372400,Voluntary non-profit - Other,41.121,-87.872,https://healthcare.ascension.org/locations/illinois/ilchi/kankakee-ascension-saint-mary,https://healthcare.ascension.org/chna
101232,6430870,140158,6247,Acute Care Hospital,Insight Hospital & Medical Center,2525 South Michigan Avenue,Chicago,60616,Cook,3125672000,Voluntary non-profit - Church,41.847,-87.6234,https://insightchicago.com/,
101233,6431720,140160,778,Acute Care Hospital,FHN Memorial Hospital,1045 West Stephenson,Freeport,61032,Stephenson,8155996000,Voluntary non-profit - Private,42.2958,-89.6379,https://fhn.org,https://www.fhn.org/Community-Health-Needs.asp
101234,6432670,140161,5264,Acute Care Hospital,OSF Saint James-John W Albrecht Medical Center,2500 West Reynolds Street,Pontiac,61764,Livingston,8158422828,Voluntary non-profit - Church,40.8733,-88.6768,https://www.osfhealthcare.org/saint-james/,https://www.osfhealthcare.org/about/community-health/
101235,6430260,140162,2535,Acute Care Hospital,OSF St. Joseph Medical Center,2200 East Washington Street,Bloomington,61701,McLean,3096623311,Voluntary non-profit - Church,40.4802,-88.9566,https://www.osfhealthcare.org/st-joseph/,https://www.osfhealthcare.org/about/community-health/
101236,6430327,140164,513,Acute Care Hospital,Memorial Hospital of Carbondale,405 West  Jackson,Carbondale,62902,Jackson,6185490721,Voluntary non-profit - Other,37.7278,-89.2206,https://www.sih.net/locations/sih-memorial-hospital-of-carbondale,https://www.sih.net/giving-back/community/sih-in-the-community/community-benefit-programs/community-health-needs-assessment
101237,6431390,140166,2592,Acute Care Hospital,HSHS St. Mary's Hospital,1800 East Lake Shore Drive,Decatur,62521,Macon,2174642966,Voluntary non-profit - Church,39.8265,-88.9323,https://www.hshs.org/st-marys-decatur/,https://www.hshs.org/st-marys-decatur/about-us/community-health-needs-assessment
101238,6433130,140167,1107,Acute Care Hospital,Iroquois Memorial Hospital,200 Fairman Street,Watseka,60970,Iroquois,8154325841,Voluntary non-profit - Private,40.7657,-87.7325,https://iroquoismemorial.com/,https://iroquoismemorial.com/files/galleries/*CHNA_2022_072722.pdf
101239,6430028,140172,5074,Acute Care Hospital,Franciscan Health - Olympia Fields,20201 South Crawford Avenue,Olympia Fields,60461,Cook,7087561000,Proprietary,41.5224,-87.7131,https://www.franciscanhealth.org/find-a-location/franciscan-health-olympia-fields-218593,https://www.franciscanhealth.org/community/community-health
101240,6430115,140174,4903,Acute Care Hospital,Ascension Mercy,1325 North Highland Avenue,Aurora,60506,Kane,6308592222,Voluntary non-profit - Church,41.7868,-88.3287,https://healthcare.ascension.org/locations/illinois/ilchi/aurora-ascension-mercy,https://healthcare.ascension.org/chna
101241,6433260,140176,3889-3,Acute Care Hospital,Northwestern Medicine Woodstock Hospital,3701 Doty Road,Woodstock,60098,McHenry,8153382500,Voluntary non-profit - Other,42.2752,-88.3991,https://www.nm.org/locations/woodstock-hospital,https://www.nm.org/about-us/nm-community-impact/reports
101242,6430780,140177,1115,Acute Care Hospital,Jackson Park Hospital & Medical Center,7531 Stony Island Ave.,Chicago,60649,Cook,7739477500,Voluntary non-profit - Private,41.7577,-87.5855,https://www.jacksonparkhospital.org/,https://www.jacksonparkhospital.org/about-us/community-benefit/
101243,6431690,140179,6163,Acute Care Hospital,OSF Little Company of Mary Medical Center,2800 West 95th Street,Evergreen Park,60805,Cook,7084226200,Voluntary non-profit - Church,41.721,-87.6934,https://www.osfhealthcare.org/little-company-of-mary/,https://www.osfhealthcare.org/about/community-health/
101244,6431090,140180,6007,Acute Care Hospital,Ascension Saints Mary and Elizabeth,2233 West Division Street,Chicago,60622,Cook,3127702000,Voluntary non-profit - Church,41.9029,-87.6829,https://healthcare.ascension.org/locations/illinois/ilchi/chicago-ascension-saint-mary,https://healthcare.ascension.org/chna
101245,6431160,140181,3459,Acute Care Hospital,South Shore Hospital,8012 South Crandon Avenue,Chicago,60617,Cook,7733565000,Voluntary non-profit - Private,41.7494,-87.5688,https://www.southshorehospital.com,https://www.southshorehospital.com/about-us
101246,6430024,140182,5165,Acute Care Hospital,Advocate Illinois Masonic Medical Center,836 West Wellington Avenue,Chicago,60657,Cook,7739751600,Voluntary non-profit - Church,41.9365,-87.6506,https://www.advocatehealth.com/immc/,https://www.advocatehealth.com/hospital-chna-reports-implementation-plans-progress-reports/illinois-masonic-chna-report-2022
101247,6432165,140184,0006361,Acute Care Hospital,Heartland Regional Medical Center,3333 West  De Young  Street,Marion,62959,Williamson,6189987000,Proprietary,37.7448,-88.9865,https://heartlandregional.com/,
101248,6430195,140185,1461-1,Acute Care Hospital,Memorial Hospital Belleville,4500 Memorial Drive,Belleville,62226,St. Clair,6182337750,Voluntary non-profit - Private,38.5488,-90.0206,https://memhosp.org/,https://memhosp.org/community-needs-assessment/
101249,6432025,140186,2014,Acute Care Hospital,Riverside Medical Center,350 N. Wall Street,Kankakee,60901,Kankakee,8159331671,Voluntary non-profit - Other,41.1243,-87.8825,https://www.riversidehealthcare.org/location/riverside-medical-center,https://www.riversidehealthcare.org/about-us/for-our-community/community-health-assessment
101250,6430200,140187,6064,Acute Care Hospital,HSHS St. Elizabeth's Hospital,1 Saint Elizabeth Blvd,O'Fallon,62269,St. Clair,6182342120,Voluntary non-profit - Church,38.5115,-89.9884,https://www.hshs.org/st-elizabeths,https://www.hshs.org/st-elizabeths/about-us/community-health-needs-assessment
101251,6430375,140189,3392,Acute Care Hospital,Sarah Bush Lincoln Health Center,"1000 Health Center Drive, P. O. Box 372",Mattoon,61938,Coles,2172582525,Voluntary non-profit - Private,39.4846,-88.2756,https://www.sarahbush.org/,https://www.sarahbush.org/about/community-health-needs-assessment/
101252,6431860,140191,1099,Acute Care Hospital,UChicago Medicine Ingalls Memorial,One Ingalls Drive,Harvey,60426,Cook,7083332300,Voluntary non-profit - Private,41.6064,-87.6594,https://www.uchicagomedicine.org/find-a-location/uchicago-medicine-at-ingalls-harvey,https://www.uchicagomedicine.org/about-us/community/benefit/health-needs
101253,6430430,140197,6155,Acute Care Hospital,Thorek Memorial Hospital - Andersonville,5025 North Paulina Street,Chicago,60640,Cook,7732719040,Voluntary non-profit - Church,41.9727,-87.671,https://thorekandersonville.org/,https://thorekandersonville.org/community/community-benefit/
101255,6431620,140200,5751,Acute Care Hospital,Endeavor Elmhurst Hospital,155 East Brush Hill Road,Elmhurst,60126,DuPage,6308331400,Voluntary non-profit - Other,41.9022,-87.9296,https://www.eehealth.org/locations/elmhurst/elmhurst-hospital-main-campus/,https://www.eehealth.org/community/
101256,6432080,140202,5579,Acute Care Hospital,Advocate Condell Medical Center,801 South Milwaukee Avenue,Libertyville,60048,Lake,8473622900,Voluntary non-profit - Other,42.2744,-87.9518,https://www.advocatehealth.com/condell/,https://www.advocatehealth.com/hospital-chna-reports-implementation-plans-progress-reports/condell-chna-report-2022
101257,6430965,140206,1727,Acute Care Hospital,Humboldt Park Health,1044 North Francisco Avenue,Chicago,60622,Cook,7732928200,Voluntary non-profit - Private,41.8998,-87.6994,https://www.hph.care/,https://www.hph.care/home/community-relations/
101259,6432413,140208,315,Acute Care Hospital,Advocate Christ Medical Center,4440 W. 95th Street,Oak Lawn,60453,Cook,7086848000,Voluntary non-profit - Church,41.7205,-87.7327,https://www.advocatehealth.com/cmc/,https://www.advocatehealth.com/hospital-chna-reports-implementation-plans-progress-reports/christ-chna-report-2022
101260,6432570,140209,1594,Acute Care Hospital,Carle Health Methodist Hospital,221 Northeast Glen Oak,Peoria,61636,Peoria,3096725522,Voluntary non-profit - Other,40.7,-89.5953,https://carle.org/locations/carle-health-methodist-hospital,https://carle.org/about-us/community-health-needs-assessments
101261,6431830,140210,521,Acute Care Hospital,Harrisburg Medical Center,100 Dr. Warren Tuttle Drive,Harrisburg,62946,Saline,6182537671,Voluntary non-profit - Other,37.7295,-88.5225,https://harrisburgmc.com/,https://harrisburgmc.com/chna/
101262,6431765,140211,5736,Acute Care Hospital,Northwestern Medicine Delnor Hospital,300 Randall Road,Geneva,60134,Kane,6302083000,Voluntary non-profit - Other,41.8888,-88.3406,https://www.nm.org/locations/delnor-hospital,https://www.nm.org/about-us/nm-community-impact/reports
101264,6431600,140217,4887,Acute Care Hospital,Ascension Saint Joseph - Elgin,77 North Airlite Street,Elgin,60120,Kane,8476953200,Voluntary non-profit - Church,42.0363,-88.3277,https://healthcare.ascension.org/locations/illinois/ilchi/elgin-ascension-saint-joseph,https://healthcare.ascension.org/chna
101265,6430405,140223,4796,Acute Care Hospital,Advocate Lutheran General Hospital,1775 Dempster Street,Park Ridge,60068,Cook,8477232210,Voluntary non-profit - Church,42.0396,-87.8485,https://www.advocatehealth.com/luth/,https://www.advocatehealth.com/hospital-chna-reports-implementation-plans-progress-reports/lutheran-general-chna-report-2022
101266,6431070,140224,5983,Acute Care Hospital,Ascension Saint Joseph - Chicago,2900 North Lake Shore Drive,Chicago,60657,Cook,7736653000,Voluntary non-profit - Private,41.9348,-87.6369,https://healthcare.ascension.org/locations/illinois/ilchi/chicago-ascension-saint-joseph-chicago-at-2900-n-lake-shore-dr,https://healthcare.ascension.org/chna
101267,6432810,140228,2725,Acute Care Hospital,UW Health SwedishAmerican Hospital,1401 East State Street,Rockford,61104,Winnebago,8159684400,Voluntary non-profit - Other,42.2668,-89.0734,https://www.uwhealth.org/locations/swedishamerican,https://www.uwhealth.org/population-health/community-health-improvement
101268,6432350,140231,3905,Acute Care Hospital,Endeavor Edward Hospital,801 S. Washington Street,Naperville,60540,DuPage,6303550450,Voluntary non-profit - Private,41.7608,-88.1491,https://www.eehealth.org/locations/naperville/edward-hospital-main-campus/,https://www.eehealth.org/community/
101269,6432800,140233,2253,Acute Care Hospital,OSF Saint Anthony Medical Center,5666 East State Street,Rockford,61108,Winnebago,8152262000,Voluntary non-profit - Church,42.2662,-89.0059,https://www.osfhealthcare.org/saint-anthony/,https://www.osfhealthcare.org/about/community-health/
101271,6432780,140239,2048-1,Acute Care Hospital,Mercyhealth Javon Bea Hospital-Rockton Avenue Campus,2400 N. Rockton Avenue,Rockford,61103,Winnebago,8159715000,Voluntary non-profit - Private,42.2979,-89.097,https://www.mercyhealthsystem.org/locations/javon-bea-hospital-rockton/,https://www.mercyhealthsystem.org/about-us/community-needs/
101273,6430019,140242,5744,Acute Care Hospital,Northwestern Medicine Central Dupage Hospital,25 North Winfield Road,Winfield,60190,DuPage,6309331600,Voluntary non-profit - Private,41.755,-88.3471,https://www.nm.org/locations/central-dupage-hospital,https://www.nm.org/about-us/nm-community-impact/reports
